"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"01/01/2016","81","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","20","23","81","29"
"01/02/2016","64","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","10",".","64","32"
"01/03/2016","65","PM2.5","San Jose - Jackson","06-085-0005","AQS","11","12",".","65","27"
"01/04/2016","49","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","25","15","49","26"
"01/05/2016","32","NO2","San Jose - Knox Avenue","06-085-0006","AQS","8","23",".","25","32"
"01/06/2016","26","Ozone","San Jose - Jackson","06-085-0005","AQS","7","26",".","16","19"
"01/07/2016","35","NO2","San Jose - Knox Avenue","06-085-0006","AQS","13","27","10","30","35"
"01/08/2016","45","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14","19",".","45","28"
"01/09/2016","27","PM2.5","Gilroy","06-085-0002","AQS","9","27",".","27","22"
"01/10/2016","45","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","10","16","14","45","25"
"01/11/2016","33","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","11",".","33","28"
"01/12/2016","33","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","24",".","33","24"
"01/13/2016","31","Ozone","San Jose - Jackson","06-085-0005","AQS","10","31","13","28","27"
"01/14/2016","28","Ozone","San Jose - Jackson","06-085-0005","AQS","10","28",".","26","24"
"01/15/2016","42","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","22",".","42","35"
"01/16/2016","25","PM2.5","Gilroy","06-085-0002","AQS","11","21","7","25","22"
"01/17/2016","18","PM2.5","Gilroy","06-085-0002","AQS","9","18",".","18","9"
"01/18/2016","28","Ozone","San Jose - Jackson","06-085-0005","AQS","9","28",".","21","25"
"01/19/2016","27","NO2","San Jose - Knox Avenue","06-085-0006","AQS","10","24","12","25","27"
"01/20/2016","40","PM2.5","San Jose - Jackson","06-085-0005","AQS","13","22",".","40","31"
"01/21/2016","33","Ozone","San Jose - Jackson","06-085-0005","AQS","15","33",".","26","27"
"01/22/2016","27","Ozone","San Jose - Jackson","06-085-0005","AQS","8","27","6","22","18"
"01/23/2016","32","Ozone","San Jose - Jackson","06-085-0005","AQS","10","32",".","25","26"
"01/24/2016","37","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","11","32",".","37","29"
"01/25/2016","37","PM2.5","San Jose - Jackson","06-085-0005","AQS","14","21","17","37","27"
"01/26/2016","49","PM2.5","San Jose - Jackson","06-085-0005","AQS","11",".",".","49","31"
"01/27/2016","57","PM2.5","San Jose - Knox Avenue","06-085-0006","AQS","14",".",".","57","37"
